ReportingArea,State,IssueDate,ForecastDate,ForecastPeriod,Parameter,AQI,AQI Category,LevelOfHealthConcern,ActionDayName,ActionDay,TimeZone,Latitude,Longitude,Acquired
Central LA CO,CA,1/29/2010 0:00,1/30/2010 0:00,Next Day,PM2.5,45,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/30/2010 0:00,1/31/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/30/2010 0:00,1/31/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/30/2010 0:00,1/31/2010 0:00,Next Day,OZONE,29,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/30/2010 0:00,1/31/2010 0:00,Next Day,PM10,32,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/30/2010 0:00,1/31/2010 0:00,Next Day,PM2.5,58,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/31/2010 0:00,2/1/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/31/2010 0:00,2/1/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/31/2010 0:00,2/1/2010 0:00,Next Day,OZONE,24,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/31/2010 0:00,2/1/2010 0:00,Next Day,PM10,33,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,1/31/2010 0:00,2/1/2010 0:00,Next Day,PM2.5,58,2,Moderate,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/1/2010 0:00,2/2/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/1/2010 0:00,2/2/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/1/2010 0:00,2/2/2010 0:00,Next Day,OZONE,27,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/1/2010 0:00,2/2/2010 0:00,Next Day,PM10,29,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/1/2010 0:00,2/2/2010 0:00,Next Day,PM2.5,45,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/2/2010 0:00,2/3/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/2/2010 0:00,2/3/2010 0:00,Next Day,NO2,40,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/2/2010 0:00,2/3/2010 0:00,Next Day,OZONE,19,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/2/2010 0:00,2/3/2010 0:00,Next Day,PM10,26,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/2/2010 0:00,2/3/2010 0:00,Next Day,PM2.5,39,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/3/2010 0:00,2/4/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/3/2010 0:00,2/4/2010 0:00,Next Day,NO2,40,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/3/2010 0:00,2/4/2010 0:00,Next Day,OZONE,27,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/3/2010 0:00,2/4/2010 0:00,Next Day,PM10,31,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/3/2010 0:00,2/4/2010 0:00,Next Day,PM2.5,49,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/4/2010 0:00,2/5/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/4/2010 0:00,2/5/2010 0:00,Next Day,NO2,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/4/2010 0:00,2/5/2010 0:00,Next Day,OZONE,30,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/4/2010 0:00,2/5/2010 0:00,Next Day,PM10,32,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/4/2010 0:00,2/5/2010 0:00,Next Day,PM2.5,49,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/5/2010 0:00,2/6/2010 0:00,Next Day,CO,15,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
Central LA CO,CA,2/5/2010 0:00,2/6/2010 0:00,Next Day,NO2,20,1,Good,NULL,0,PST,34.0663,-118.2266,Submitted
